School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,% English Language Learner,% Students With Disabilities,% Graduated,% Dropped Out,% Attending College,Average SAT_Math,Average SAT_Reading,% AP_Score 3-5,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level,IF_Classification,State_Level
Masconomet Regional High School,Masconomet Reg,Boxford,Public School,1188,15.8,5.8,18.1,0.2,13.7,97.5,0.8,90.8,567.0,549.0,83.5,15422.23,Level 1,94.0,Thriving,Masconomet Regional High School boasts a remarkable graduation rate of 97.5% and high college attendance.,Graduation Rate,N/A,High School,Thriving,Level 1
Mashpee High,Mashpee High,Mashpee,Public School,415,11.4,23.6,36.6,0.5,17.3,90.2,4.9,69.2,492.0,501.0,48.0,16804.31,Level 2,37.0,Performing,Mashpee High has a good graduation rate but average college attendance and SAT scores.,Graduation Rate,College Attendance,High School,Performing,Level 2
Maynard High,Maynard High,Maynard,Public School,502,16.4,17.1,31.7,3.0,17.7,88.4,3.5,76.4,546.0,540.0,67.4,14641.79,Level 2,40.0,Performing,Maynard High shows solid graduation and college attendance rates but has room for improvement in SAT scores.,Graduation rate,SAT scores,High School,Performing,Level 2
Medfield Senior High,Medfield Senior,Medfield,Public School,842,16.6,3.8,13.5,0.5,10.5,98.3,0.9,94.5,587.0,553.0,74.4,13848.61,Level 1,96.0,Thriving,Medfield Senior High boasts an impressive graduation rate of 98.3% and high college attendance.,Graduation Rate,N/A,High School,Thriving,Level 1
Medford High,Medford High,Medford,Public School,1174,,24.8,40.2,7.6,15.6,83.9,3.9,81.8,521.0,520.0,88.9,16005.95,Level 2,60.0,Performing,Medford High demonstrates solid graduation and college attendance rates with commendable AP performance.,AP Scores,SAT Scores,High School,Performing,Level 2
Medford Vocational Technical High,Medford Voc Tec,Medford,Public School,257,,36.2,58.8,0.0,36.2,84.5,2.8,33.3,420.0,398.0,,16005.95,Level 2,33.0,Struggling,The school's college attendance rate is notably low despite a reasonable graduation rate.,Graduation Rate,College Attendance,High School,At Risk,Level 2
Medway High,Medway High,Medway,Public School,762,16.6,6.3,15.9,0.0,11.7,96.7,1.0,87.8,547.0,535.0,75.7,13307.78,Level 1,81.0,Thriving,Medway High boasts an impressive graduation rate of 96.7% and strong college attendance at 87.8%.,Graduation Rate,N/A,High School,Thriving,Level 1
Melrose High,Melrose High,Melrose,Public School,988,18.1,11.8,23.8,1.2,14.9,95.8,2.1,84.5,534.0,530.0,70.0,12057.62,Level 1,72.0,Thriving,Melrose High boasts a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Nipmuc Regional High,Nipmuc Reg High,Upton,Public School,593,13.6,10.3,20.1,0.2,12.5,94.5,1.8,84.6,544.0,529.0,73.8,13742.48,Level 1,83.0,Thriving,Nipmuc Regional High boasts a high graduation rate and strong college attendance.,Graduation Rate,None,High School,Thriving,Level 1
Methuen High,Methuen High,Methuen,Public School,1891,16.7,30.2,38.1,4.5,10.8,87.9,5.2,77.8,482.0,473.0,44.7,12808.32,Level 3,26.0,Performing,"Methuen High shows solid graduation and college attendance rates, despite lower SAT scores.",Graduation rate,SAT scores,High School,Performing,Level 3
Middleborough High,Middleborough H,Middleborough,Public School,694,14.6,21.0,31.8,0.3,17.6,93.3,4.9,72.8,509.0,501.0,67.6,13515.17,Level 2,38.0,Performing,Middleborough High has a solid graduation rate and a strong AP pass rate.,Graduation rate,College attendance,High School,Thriving,Level 2
Milford High,Milford High,Milford,Public School,1135,16.2,26.4,37.6,6.9,13.2,84.2,9.6,77.3,514.0,505.0,55.7,13339.7,Level 3,17.0,Struggling,Milford High faces significant challenges with a high dropout rate and low accountability percentile.,AP Performance,Dropout Rate,High School,Performing,Level 3
Millbury Junior/Senior High,Millbury Junior,Millbury,Public School,727,15.2,22.7,35.4,0.8,17.3,96.0,0.0,75.4,492.0,480.0,46.1,14989.37,Level 1,46.0,Performing,"Millbury Junior has a high graduation rate and low dropout rate, indicating solid stability.",Graduation Rate,SATS,High School,Thriving,Level 1
Millis High School,Millis HS,Millis,Public School,390,14.5,9.7,18.7,0.5,11.0,93.8,4.1,88.2,503.0,516.0,71.1,13489.87,Level 1,77.0,Thriving,"Millis High School boasts a high graduation rate and college attendance, indicating strong student success.",Graduation rate,SAT scores,High School,Thriving,Level 1
Milton High,Milton High,Milton,Public School,1001,16.9,11.2,21.5,1.5,11.9,96.9,0.4,89.3,555.0,530.0,75.6,14116.37,Level 2,80.0,Thriving,Milton High boasts a strong graduation rate and high college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Minuteman Regional High,Minuteman Reg H,Lexington,Public School,582,12.0,26.1,62.4,0.9,48.3,88.0,1.9,57.7,470.0,480.0,60.0,28207.95,Level 1,35.0,Performing,Minuteman Regional High maintains solid graduation rates despite a high percentage of students with disabilities.,Graduation rate,College attendance,High School,Performing,Level 1
Mohawk Trail Regional High,Mohawk Trail Re,Shelburne Falls,Public School,422,12.3,34.6,46.7,0.2,21.8,81.9,8.4,79.3,546.0,545.0,69.3,17491.91,Level 2,39.0,Performing,Mohawk Trail Regional High has a commendable graduation rate and college attendance but can improve on SAT scores.,Graduation rate,SAT scores,High School,Performing,Level 2
Monomoy Regional High School,Monomoy Reg HS,Harwich,Public School,599,12.3,20.5,30.9,2.2,14.9,89.5,4.4,76.5,532.0,546.0,59.8,15979.82,Level 2,47.0,Performing,"Monomoy Regional High School has solid graduation and college attendance rates, showing adequate overall performance.",Graduation,SAT scores,High School,Performing,Level 2
Monson High School,Monson HS,Monson,Public School,287,14.7,17.1,22.6,0.0,8.7,96.7,2.2,81.6,500.0,497.0,41.6,13955.42,Level 2,25.0,Performing,"Monson High School has a high graduation rate and college attendance, indicating solid performance.",Graduation rate,SAT scores,High School,Thriving,Level 2
Montachusett Regional Vocational Technical,Montachusett Re,Fitchburg,Public School,1429,18.7,23.0,34.4,0.4,14.6,98.6,0.3,53.8,470.0,473.0,23.5,18275.47,Level 1,58.0,Performing,High graduation and low dropout rates indicate solid foundational success.,Graduation,College Attendance,High School,Struggling,Level 1
Mt Greylock Regional High,Mt Greylock Reg,Williamstown,Public School,562,13.3,17.6,27.0,0.2,14.8,92.6,1.2,84.9,585.0,593.0,74.2,19625.78,Level 1,87.0,Thriving,Mt Greylock Regional High boasts impressive graduation and college attendance rates.,Graduation Rate,N/A,High School,Thriving,Level 1
Mystic Valley Regional Charter School,Mystic Valley R,Malden,Charter School,1486,22.7,17.2,29.3,1.6,13.2,99.0,1.0,89.6,562.0,538.0,,,Level 2,82.0,Thriving,"Mystic Valley has an impressive graduation rate and college attendance, indicating strong student outcomes.",Graduation rate,SAT scores,High School,Thriving,Level 2
Nantucket High,Nantucket High,Nantucket,Public School,538,12.8,17.3,37.5,11.7,16.9,83.3,4.8,72.7,490.0,524.0,52.8,20736.02,Level 2,36.0,Performing,"Nantucket High has a solid graduation rate and college attendance, with room for improvement in SAT scores.",Graduation rate,SAT scores,High School,Performing,Level 2
Narragansett Regional High,Narragansett Re,Baldwinville,Public School,372,11.9,20.2,29.0,0.0,14.0,87.6,5.2,65.9,510.0,502.0,44.4,12696.99,Level 2,45.0,Performing,"Narragansett Regional High has solid graduation and college attendance rates, with room for improvement in test scores.",Graduation rate,Test scores,High School,Performing,Level 2
Nashoba Regional,Nashoba Reg,Bolton,Public School,1011,14.5,5.0,16.9,0.5,13.2,94.5,2.9,90.0,563.0,552.0,85.4,14264.04,Level 2,83.0,Thriving,Nashoba Regional boasts a 94.5% graduation rate and 90% college attendance.,Graduation,Expenditures,High School,Thriving,Level 2
Nashoba Valley Technical High School,Nashoba Valley,Westford,Public School,732,15.6,19.5,47.8,0.0,34.2,96.8,1.9,56.2,469.0,469.0,12.9,17030.03,Level 1,51.0,Performing,Nashoba Valley maintains a high graduation rate despite challenges in college attendance and AP performance.,Graduation Rate,College Attendance,High School,Performing,Level 1
Natick High,Natick High,Natick,Public School,1664,17.3,10.3,23.6,1.3,15.7,98.4,0.0,85.5,565.0,555.0,80.2,14044.07,Level 1,88.0,Thriving,Natick High boasts an impressive graduation rate of 98.4% and strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Nauset Regional High,Nauset Reg High,North Eastham,Public School,929,13.7,17.9,28.1,1.3,12.5,93.3,0.8,77.6,530.0,526.0,75.7,18326.55,Level 1,79.0,Thriving,"Nauset Regional High boasts a high graduation rate and strong college attendance, indicating successful student outcomes.",Graduation rate,SAT scores,High School,Thriving,Level 1
Needham High,Needham High,Needham,Public School,1659,17.5,5.5,19.7,0.5,15.6,99.0,0.0,91.0,584.0,575.0,92.6,15900.29,Level 1,85.0,Thriving,Needham High boasts an impressive graduation rate of 99% and a high college attendance rate of 91%.,Graduation Rate,N/A,High School,Thriving,Level 1
New Bedford High,New Bedford Hig,New Bedford,Public School,2014,15.6,58.9,76.4,25.6,18.4,65.2,13.8,63.4,449.0,449.0,22.9,13144.71,Level 4,2.0,At Risk,"The school has a graduation rate of only 65.2%, indicating a significant need for improvement.",Enrollment,Graduation,High School,Struggling,Level 4
Newburyport High,Newburyport Hig,Newburyport,Public School,779,16.3,10.5,19.0,0.6,10.4,96.1,0.6,85.0,563.0,549.0,90.1,14165.05,Level 1,92.0,Thriving,Newburyport High boasts an impressive graduation rate of 96.1% and high AP performance.,Graduation Rate,N/A,High School,Thriving,Level 1
Newton North High,Newton N High,Newtonville,Public School,2126,15.9,10.4,32.1,2.7,24.6,98.2,0.0,85.7,598.0,580.0,92.3,18096.3,Level 1,87.0,Thriving,Newton North High boasts an impressive graduation rate and strong college attendance.,Graduation,None,High School,Thriving,Level 1
Newton South High,Newton S High,Newton Centre,Public School,1851,13.9,8.8,28.4,3.5,17.8,98.9,0.0,84.1,620.0,596.0,89.8,18096.3,Level 1,90.0,Thriving,Newton South High boasts exceptional graduation and college attendance rates with impressive SAT and AP performance.,Graduation Rate,None,High School,Thriving,Level 1
Norfolk County Agricultural,Norfolk County,Walpole,Public School,534,16.5,14.0,29.4,0.0,17.4,100.0,0.0,80.2,507.0,504.0,,22390.88,Level 1,71.0,Thriving,Norfolk County Agricultural boasts a 100% graduation rate and strong college attendance.,Graduation,SAT Scores,High School,Thriving,Level 1
Drury High,Drury High,North Adams,Public School,439,11.0,53.3,59.5,0.2,23.7,81.4,8.5,50.0,477.0,472.0,23.4,15583.61,Level 3,8.0,Struggling,Drury High has high dropout rates and low college attendance compared to state averages.,Small class sizes,Low college attendance,High School,Struggling,Level 3
North Andover High,N Andover High,North Andover,Public School,1391,18.6,10.8,19.0,0.5,10.9,97.0,0.3,89.5,530.0,523.0,90.1,12054.9,Level 2,68.0,Thriving,North Andover High boasts a 97% graduation rate and 90% AP success.,Graduation,SAT scores,High School,Thriving,Level 2
North Attleboro High,N Attleboro Hig,North Attleborough,Public School,1163,16.9,12.4,22.1,1.5,12.0,94.3,2.7,87.7,537.0,530.0,87.8,11245.15,Level 2,54.0,Thriving,North Attleboro High boasts impressive graduation and college attendance rates alongside strong AP performance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
North Brookfield High,N Brookfield Hi,North Brookfield,Public School,230,13.0,34.3,40.0,0.0,12.2,92.3,2.6,71.4,466.0,501.0,36.1,13352.56,Level 2,30.0,Performing,North Brookfield High has a solid graduation rate and college attendance but average SAT scores.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
North Middlesex Regional,N Middlesex Reg,Townsend,Public School,795,17.0,12.6,22.6,0.6,13.7,96.3,1.2,84.1,535.0,520.0,64.4,13761.7,Level 2,49.0,Performing,North Middlesex Regional demonstrates solid graduation and college attendance rates.,Graduation rate,SAT scores,High School,Thriving,Level 2
North Reading High,N Reading High,North Reading,Public School,811,20.2,5.9,19.9,0.5,15.5,93.4,2.5,81.1,554.0,551.0,64.4,14137.48,Level 2,74.0,Thriving,North Reading High boasts high graduation and college attendance rates with strong AP performance.,Graduation Rate,None,High School,Thriving,Level 2
Northampton High,Northampton Hig,Northampton,Public School,874,17.2,18.6,28.7,2.1,15.0,93.0,2.2,86.2,576.0,585.0,75.3,14056.81,Level 2,71.0,Thriving,Northampton High boasts a strong graduation rate and high college attendance.,Graduation rate,N/A,High School,Thriving,Level 2
Smith Vocational and Agricultural High,Smith Voc Agric,Northampton,Public School,486,13.0,31.1,54.1,2.5,36.0,93.3,0.0,41.2,,,,23246.51,Level 1,34.0,Performing,Smith Vocational and Agricultural High has a strong graduation rate and no dropouts.,Graduation rate,College attendance,High School,Struggling,Level 1
Algonquin Regional High,Algonquin Reg H,Northborough,Public School,1443,16.4,5.5,17.3,1.2,11.3,95.7,2.7,93.1,566.0,551.0,90.6,15190.22,Level 1,95.0,Thriving,Algonquin Regional High boasts impressive graduation and college attendance rates.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Northbridge High,Northbridge Hig,Whitinsville,Public School,584,12.9,24.0,32.7,1.0,13.2,90.1,5.9,57.6,490.0,498.0,42.2,12437.24,Level 2,28.0,Performing,Northbridge High has a solid graduation rate and above-average AP performance.,Graduation rate,College attendance,High School,Performing,Level 2
Northeast Metro Regional Vocational,Northeast Metro,Wakefield,Public School,1261,19.4,30.8,48.6,1.8,23.2,96.6,1.0,47.7,444.0,439.0,,20309.02,Level 1,38.0,Performing,The school has a high graduation rate but average college attendance and SAT scores.,Graduation rate,College attendance,High School,Struggling,Level 1
Charles McCann Vocational Technical,Charles McCann,North Adams,Public School,484,12.6,30.2,40.3,0.0,19.2,96.7,0.8,42.6,480.0,480.0,32.0,19712.36,Level 2,40.0,Performing,The school boasts a high graduation rate of 96.7%.,Graduation Rate,College Attendance,High School,Struggling,Level 2
Norton High,Norton High,Norton,Public School,763,19.8,13.6,23.7,0.7,13.8,96.2,2.7,80.4,513.0,520.0,72.0,13218.59,Level 2,56.0,Thriving,Norton High boasts a high graduation rate and strong college attendance.,Graduation rate,N/A,High School,Thriving,Level 2
Norwell High,Norwell High,Norwell,Public School,709,15.6,3.5,13.0,0.0,10.0,98.8,0.0,89.9,555.0,555.0,81.7,14352.38,Level 1,93.0,Thriving,Norwell High boasts a remarkable graduation rate of 98.8% and strong college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Norwood High,Norwood High,Norwood,Public School,957,13.8,20.4,33.3,4.3,15.6,93.8,3.3,82.9,523.0,505.0,73.5,15479.54,Level 2,44.0,Performing,"Norwood High demonstrates a solid graduation rate and college attendance, reflecting stable performance overall.",Graduation rate,SAT scores,High School,Thriving,Level 2
Old Colony Regional Vocational Technical,Old Colony Reg,Rochester,Public School,546,14.0,17.6,35.7,0.2,23.6,97.2,1.4,46.5,471.0,454.0,,19290.69,Level 1,53.0,Performing,The school boasts a high graduation rate of 97.2% despite lower college attendance.,Graduation rate,College attendance,High School,Struggling,Level 1
Old Rochester Regional High,Old Rochester R,Mattapoisett,Public School,748,17.6,7.9,17.2,0.0,11.1,94.8,2.1,86.7,546.0,536.0,72.2,14099.08,Level 2,51.0,Performing,Old Rochester Regional High showcases solid graduation and college attendance rates.,Graduation Rate,Average SAT Scores,High School,Thriving,Level 2
Oxford High,Oxford High,Oxford,Public School,538,14.4,34.8,41.6,0.7,13.8,92.2,1.7,76.6,525.0,498.0,32.5,13125.98,Level 1,21.0,Performing,Oxford High has a commendable graduation rate and college attendance but average SAT and AP scores.,Graduation rate,SAT scores,High School,Thriving,Level 1
Palmer High,Palmer High,Palmer,Public School,486,12.2,30.7,40.5,1.0,18.5,86.0,8.4,77.0,504.0,503.0,47.8,14119.7,Level 3,17.0,Performing,"Palmer High maintains a solid graduation rate and college attendance, reflecting overall average performance.",Graduation rate,SAT scores,High School,Performing,Level 3
Pathfinder Vocational Technical,Pathfinder Voc,Palmer,Public School,618,11.4,36.6,51.9,0.0,25.7,90.5,2.7,40.5,432.0,456.0,,22343.35,Level 3,13.0,Performing,Pathfinder Vocational Technical has a solid graduation rate but lower college attendance and SAT scores.,Graduation Rate,College Attendance,High School,Struggling,Level 3
Peabody Veterans Memorial High,Peabody Veteran,Peabody,Public School,1540,15.7,27.4,41.7,5.3,19.2,87.6,4.6,75.9,508.0,497.0,58.5,13495.79,Level 3,17.0,Performing,Peabody Veterans Memorial High has a solid graduation rate with moderate college attendance.,Graduation rate,SAT scores,High School,Performing,Level 3
Pembroke High School,Pembroke HS,Pembroke,Public School,973,18.3,10.7,19.1,0.1,10.3,96.2,3.8,76.0,522.0,505.0,63.6,11467.47,Level 2,61.0,Performing,Pembroke HS boasts a high graduation rate with solid college attendance figures.,Graduation rate,SAT scores,High School,Thriving,Level 2
Pentucket Regional Sr High,Pentucket Reg S,West Newbury,Public School,734,13.9,8.7,18.1,0.1,11.3,91.9,3.2,83.6,532.0,524.0,68.9,13869.36,Level 1,79.0,Thriving,Pentucket Regional demonstrates strong graduation and college attendance rates along with high AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Pioneer Charter School of Science,Pioneer CS Sci,Everett,Charter School,543,18.2,38.1,65.6,34.4,8.1,96.4,1.8,90.7,555.0,484.0,55.3,,Level 1,93.0,Thriving,Pioneer Charter School of Science boasts a high graduation rate and impressive college attendance.,Graduation rate,SAT Reading scores,High School,Thriving,Level 1
Pioneer Valley Regional,Pioneer Valley,Northfield,Public School,409,13.0,16.6,26.2,0.0,12.7,96.8,3.2,69.6,500.0,520.0,47.1,15385.52,Level 2,62.0,Performing,Pioneer Valley has a strong graduation rate and a solid percentage of students attending college.,Graduation rate,SAT scores,High School,Performing,Level 2
Pioneer Valley Performing Arts Charter Public School,Pioneer Valle 3,South Hadley,Charter School,398,12.0,21.4,35.2,0.0,18.6,92.6,0.0,87.3,517.0,569.0,70.0,,Level 2,71.0,Thriving,The school boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Pittsfield High,Pittsfield High,Pittsfield,Public School,861,13.8,38.4,50.6,5.5,25.7,78.1,10.7,70.1,497.0,508.0,50.6,14459.81,Level 3,7.0,Struggling,Pittsfield High has significant dropout rates and low graduation rates compared to state averages.,AP participation,Graduation rates,High School,Struggling,Level 3
Taconic High,Taconic High,Pittsfield,Public School,706,11.8,40.7,49.0,1.3,17.6,88.2,7.5,72.8,500.0,499.0,44.3,14459.81,Level 3,16.0,Performing,Taconic High demonstrates solid graduation and college attendance rates despite varying academic performance metrics.,Graduation rate,SAT scores,High School,Performing,Level 3
Plymouth North High,Plymouth N High,Plymouth,Public School,1307,16.2,23.6,34.8,1.5,16.7,87.3,4.2,74.5,492.0,474.0,60.6,14934.64,Level 2,23.0,Performing,Plymouth North High has a solid graduation rate and college attendance reflecting average performance.,Graduation rate,SAT scores,High School,Performing,Level 2
Plymouth South High,Plymouth S High,Plymouth,Public School,1026,13.4,16.5,31.5,0.0,20.8,93.6,2.0,62.8,491.0,472.0,53.2,14934.64,Level 2,32.0,Performing,Plymouth South High boasts a high graduation rate of 93.6% with a solid AP performance.,Graduation Rate,SAT Scores,High School,Performing,Level 2
Prospect Hill Academy Charter School,Prospect Hill A,Cambridge,Charter School,1135,21.2,37.9,53.6,12.4,14.8,92.3,0.0,91.4,467.0,455.0,32.4,,Level 2,49.0,Performing,"The school boasts a high graduation rate and college attendance, but average SAT scores indicate room for improvement.",Graduation,SAT Scores,High School,Thriving,Level 2
Quabbin Regional High School,Quabbin Reg HS,Barre,Public School,676,17.1,19.7,29.6,0.1,14.9,86.9,6.9,76.9,521.0,512.0,38.9,13957.09,Level 2,41.0,Performing,Quabbin Regional High School maintains a solid graduation rate and college attendance despite some room for improvement.,Graduation Rate,SAT Scores,High School,Performing,Level 2
Quaboag Regional High,Quaboag Reg Hig,Warren,Public School,365,14.7,35.1,41.9,3.8,12.6,89.2,0.0,63.6,503.0,520.0,63.4,12012.9,Level 2,49.0,Performing,"Quaboag Regional High has notably high graduation and AP scores, indicating solid overall student achievement.",Graduation rate,College attendance,High School,Performing,Level 2
North Quincy High,N Quincy High,Quincy,Public School,1168,16.4,33.1,47.2,11.3,12.6,93.5,1.3,79.5,518.0,461.0,78.5,16022.62,Level 1,66.0,Thriving,North Quincy High boasts a high graduation rate and strong AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Quincy High,Quincy High,Quincy,Public School,1503,15.7,34.7,50.6,7.5,19.3,89.7,6.0,70.5,502.0,486.0,67.3,16022.62,Level 2,29.0,Performing,Quincy High has a solid graduation rate and AP performance but room for improvement in college attendance.,Graduation rate,College attendance,High School,Performing,Level 2
Ralph C Mahar Regional,Ralph C Mahar R,Orange,Public School,635,12.7,40.3,46.5,1.3,16.4,86.4,9.1,70.3,516.0,508.0,68.2,14711.46,Level 2,24.0,Performing,The school has a solid graduation rate and college attendance but could improve SAT scores.,Graduation rate,SAT scores,High School,Performing,Level 2
The Gateway to College,Gateway to Coll,Gardner,Public School,79,,30.4,38.0,7.6,1.3,56.6,9.4,100.0,,,,14711.46,Insufficient data,,Struggling,The school's graduation rate is significantly low despite achieving a perfect college attendance rate.,College attendance,Graduation rate,High School,At Risk,Insufficient data
Randolph High,Randolph High,Randolph,Public School,679,15.6,42.7,59.8,9.0,19.3,81.6,3.5,74.4,460.0,437.0,46.1,16051.0,Level 2,33.0,Performing,Randolph High shows solid graduation and college attendance rates amidst economic challenges.,Graduation rate,SAT scores,High School,Performing,Level 2
Reading Memorial High,Reading Memoria,Reading,Public School,1265,17.2,5.9,22.1,0.4,18.1,98.4,0.9,91.7,557.0,542.0,83.9,12519.75,Level 1,77.0,Thriving,Reading Memorial High boasts an impressive graduation rate of 98.4% and high college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Revere High,Revere High,Revere,Public School,1837,19.7,38.4,54.1,14.3,10.1,86.9,3.5,69.0,460.0,430.0,61.7,14165.4,Level 2,25.0,Performing,Revere High maintains strong graduation and college attendance rates despite challenges with SAT scores.,Graduation Rate,SAT Scores,High School,Performing,Level 2
Seacoast School,Seacoast Sch,Revere,Public School,121,11.0,53.7,68.6,11.6,24.0,31.6,52.6,29.2,,,,14165.4,Insufficient data,,At Risk,"The school has a low graduation rate and a high dropout rate, indicating urgent issues.",Small class size,High dropout rate,High School,At Risk,Insufficient data
Rising Tide Charter Public School,Rising Tide CS,Plymouth,Charter School,665,18.1,8.9,21.2,0.0,14.4,100.0,0.0,88.2,529.0,542.0,82.4,,Level 1,95.0,Thriving,Rising Tide CS boasts a perfect graduation rate and impressive college attendance.,Graduation rate,None,High School,Thriving,Level 1
Rockland Senior High,Rockland Senior,Rockland,Public School,703,16.1,27.3,29.3,2.4,3.8,88.7,2.8,71.8,501.0,481.0,41.4,13548.91,Level 1,26.0,Performing,Rockland Senior High maintains a solid graduation rate with a respectable college attendance percentage.,Graduation Rate,SAT Scores,High School,Performing,Level 1
Rockport High,Rockport High,Rockport,Public School,294,13.3,13.3,26.9,0.0,16.7,94.9,3.8,84.8,529.0,532.0,63.0,16128.05,Level 1,57.0,Thriving,Rockport High has excellent graduation and college attendance rates.,Graduation rate,None,High School,Thriving,Level 1
Sabis International Charter School,Sabis Intl CS,Springfield,Charter School,1576,25.6,36.7,47.0,5.3,13.0,96.4,1.8,90.8,486.0,478.0,48.7,,Level 2,42.0,Performing,Sabis International Charter School boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Salem High,Salem High,Salem,Public School,933,13.6,45.4,62.7,13.6,24.5,87.9,5.4,69.6,487.0,490.0,34.5,16895.08,Level 3,20.0,Performing,Salem High shows solid graduation rates but has opportunities for improvement in SAT scores.,Graduation Rate,SAT Scores,High School,Performing,Level 3
Salem Academy Charter School,Salem Acad CS,Salem,Charter School,442,18.0,31.9,36.0,10.2,0.0,87.2,2.1,87.5,495.0,484.0,40.2,,Level 1,75.0,Performing,Salem Academy Charter School maintains a strong graduation and college attendance rate.,Graduation rate,SAT scores,High School,Performing,Level 1
Sandwich High,Sandwich High,East Sandwich,Public School,709,14.5,9.7,21.0,0.6,14.2,93.1,2.9,84.1,530.0,520.0,55.0,15012.47,Level 2,54.0,Performing,Sandwich High demonstrates solid graduation rates and college attendance with average SAT scores.,Graduation rate,SAT scores,High School,Thriving,Level 2
Saugus High,Saugus High,Saugus,Public School,678,13.9,25.7,35.3,2.2,12.8,87.3,7.9,84.6,500.0,490.0,42.7,14165.89,Level 3,16.0,Performing,Saugus High has a commendable college attendance rate despite challenges in standardized test scores.,College Attendance,SAT Scores,High School,Performing,Level 3
Scituate High School,Scituate HS,Scituate,Public School,914,18.6,10.0,19.1,0.2,12.3,95.3,0.5,90.2,551.0,544.0,74.4,13791.48,Level 2,59.0,Thriving,Scituate High School boasts an impressive 95.3% graduation rate and 90.2% college attendance.,Graduation rate,None,High School,Thriving,Level 2
Seekonk High,Seekonk High,Seekonk,Public School,583,17.4,14.6,26.8,1.0,14.9,95.9,0.0,85.4,532.0,523.0,67.4,14460.92,Level 1,65.0,Thriving,Seekonk High boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Sharon High,Sharon High,Sharon,Public School,1058,15.2,6.2,18.0,0.7,12.5,96.0,1.2,87.0,600.0,574.0,94.1,15400.95,Level 1,97.0,Thriving,Sharon High boasts an impressive graduation rate and high college attendance.,Graduation Rate,None,High School,Thriving,Level 1
Shawsheen Valley Vocational Technical High School,Shawsheen Valle,Billerica,Public School,1336,16.7,13.1,33.3,0.0,24.0,99.1,0.0,55.3,480.0,479.0,6.7,19298.55,Level 1,88.0,Thriving,Shawsheen Valley boasts an impressive graduation rate of 99.1% with no dropouts.,Graduation Rate,SAT Scores,High School,Performing,Level 1
Shrewsbury Sr High,Shrewsbury Sr H,Shrewsbury,Public School,1792,16.3,8.0,19.9,2.5,11.6,96.8,0.7,93.5,579.0,543.0,92.5,13147.35,Level 2,82.0,Thriving,Shrewsbury Sr High boasts an impressive graduation rate of 96.8% and a strong college attendance rate.,Graduation,None,High School,Thriving,Level 2
Silver Lake Regional High,Silver Lake Reg,Kingston,Public School,1279,20.0,14.9,27.3,0.0,16.1,97.9,0.7,75.4,539.0,520.0,80.4,14056.72,Level 2,69.0,Thriving,Silver Lake Regional High boasts an impressive graduation rate of 97.9% and strong AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 2
A North Central Charter Essential (District),A N Central CS,Fitchburg,Charter School,370,12.1,31.1,48.6,0.8,24.1,58.8,11.8,63.2,507.0,533.0,,,Level 1,40.0,Struggling,"The school's graduation rate is significantly below the state average, indicating serious challenges.",College Attendance,Graduation Rate,High School,At Risk,Level 1
Somerset Berkley Regional High School,Somerset Berkle,Somerset,Public School,1006,13.9,13.9,21.5,0.3,9.8,96.2,2.5,86.5,541.0,515.0,83.0,15110.24,Level 1,68.0,Thriving,Somerset Berkley Regional High School boasts a high graduation rate and strong college attendance.,Graduation Rate,None,High School,Thriving,Level 1
Somerville High,Somerville High,Somerville,Public School,1259,14.0,39.6,58.0,15.4,16.9,85.0,8.6,72.8,486.0,462.0,53.8,18165.45,Level 1,39.0,Performing,Somerville High demonstrates solid graduation and college attendance rates despite challenges presented by its student demographics.,Graduation Rate,SAT Scores,High School,Performing,Level 1
South Hadley High,S Hadley High,South Hadley,Public School,545,12.4,19.3,27.2,0.4,13.4,93.6,3.5,79.9,533.0,492.0,55.6,14078.01,Level 2,55.0,Performing,"The school boasts a strong graduation rate with over 93%, indicating solid success in student retention.",Graduation Rate,SAT Scores,High School,Thriving,Level 2
Joseph P Keefe Technical High School,Joseph P Keefe,Framingham,Public School,717,13.4,38.1,71.1,7.4,44.4,93.9,3.0,43.8,428.0,427.0,,25757.56,Level 2,31.0,Performing,"The school has a strong graduation rate, but college attendance is below average.",Graduation,College Attendance,High School,Struggling,Level 2
