School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level
Rising Tide Charter Public School,Rising Tide CS,Plymouth,Charter School,665,18.1,8.9,21.2,,Level 1,95.0,Thriving,Rising Tide CS boasts a perfect graduation rate and impressive college attendance.,Graduation rate,None,High School
Rockland Senior High,Rockland Senior,Rockland,Public School,703,16.1,27.3,29.3,13548.91,Level 1,26.0,Performing,Rockland Senior High maintains a solid graduation rate with a respectable college attendance percentage.,Graduation Rate,SAT Scores,High School
Rockport High,Rockport High,Rockport,Public School,294,13.3,13.3,26.9,16128.05,Level 1,57.0,Thriving,Rockport High has excellent graduation and college attendance rates.,Graduation rate,None,High School
Sabis International Charter School,Sabis Intl CS,Springfield,Charter School,1576,25.6,36.7,47.0,,Level 2,42.0,Performing,Sabis International Charter School boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School
Salem High,Salem High,Salem,Public School,933,13.6,45.4,62.7,16895.08,Level 3,20.0,Performing,Salem High shows solid graduation rates but has opportunities for improvement in SAT scores.,Graduation Rate,SAT Scores,High School
Salem Academy Charter School,Salem Acad CS,Salem,Charter School,442,18.0,31.9,36.0,,Level 1,75.0,Performing,Salem Academy Charter School maintains a strong graduation and college attendance rate.,Graduation rate,SAT scores,High School
Sandwich High,Sandwich High,East Sandwich,Public School,709,14.5,9.7,21.0,15012.47,Level 2,54.0,Performing,Sandwich High demonstrates solid graduation rates and college attendance with average SAT scores.,Graduation rate,SAT scores,High School
Saugus High,Saugus High,Saugus,Public School,678,13.9,25.7,35.3,14165.89,Level 3,16.0,Performing,Saugus High has a commendable college attendance rate despite challenges in standardized test scores.,College Attendance,SAT Scores,High School
Scituate High School,Scituate HS,Scituate,Public School,914,18.6,10.0,19.1,13791.48,Level 2,59.0,Thriving,Scituate High School boasts an impressive 95.3% graduation rate and 90.2% college attendance.,Graduation rate,None,High School
Seekonk High,Seekonk High,Seekonk,Public School,583,17.4,14.6,26.8,14460.92,Level 1,65.0,Thriving,Seekonk High boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School
Sharon High,Sharon High,Sharon,Public School,1058,15.2,6.2,18.0,15400.95,Level 1,97.0,Thriving,Sharon High boasts an impressive graduation rate and high college attendance.,Graduation Rate,None,High School
Shawsheen Valley Vocational Technical High School,Shawsheen Valle,Billerica,Public School,1336,16.7,13.1,33.3,19298.55,Level 1,88.0,Thriving,Shawsheen Valley boasts an impressive graduation rate of 99.1% with no dropouts.,Graduation Rate,SAT Scores,High School
Shrewsbury Sr High,Shrewsbury Sr H,Shrewsbury,Public School,1792,16.3,8.0,19.9,13147.35,Level 2,82.0,Thriving,Shrewsbury Sr High boasts an impressive graduation rate of 96.8% and a strong college attendance rate.,Graduation,None,High School
Silver Lake Regional High,Silver Lake Reg,Kingston,Public School,1279,20.0,14.9,27.3,14056.72,Level 2,69.0,Thriving,Silver Lake Regional High boasts an impressive graduation rate of 97.9% and strong AP performance.,Graduation rate,SAT scores,High School
A North Central Charter Essential (District),A N Central CS,Fitchburg,Charter School,370,12.1,31.1,48.6,,Level 1,40.0,Struggling,"The school's graduation rate is significantly below the state average, indicating serious challenges.",College Attendance,Graduation Rate,High School
Somerset Berkley Regional High School,Somerset Berkle,Somerset,Public School,1006,13.9,13.9,21.5,15110.24,Level 1,68.0,Thriving,Somerset Berkley Regional High School boasts a high graduation rate and strong college attendance.,Graduation Rate,None,High School
Somerville High,Somerville High,Somerville,Public School,1259,14.0,39.6,58.0,18165.45,Level 1,39.0,Performing,Somerville High demonstrates solid graduation and college attendance rates despite challenges presented by its student demographics.,Graduation Rate,SAT Scores,High School
South Hadley High,S Hadley High,South Hadley,Public School,545,12.4,19.3,27.2,14078.01,Level 2,55.0,Performing,"The school boasts a strong graduation rate with over 93%, indicating solid success in student retention.",Graduation Rate,SAT Scores,High School
Joseph P Keefe Technical High School,Joseph P Keefe,Framingham,Public School,717,13.4,38.1,71.1,25757.56,Level 2,31.0,Performing,"The school has a strong graduation rate, but college attendance is below average.",Graduation,College Attendance,High School
South Shore Charter Public School,S Shore CS Publ,Norwell,Charter School,758,18.0,14.5,38.0,,Level 2,59.0,Thriving,The school boasts a perfect graduation rate and strong college attendance.,Graduation,SAT scores,High School
So Shore Vocational Technical High,So Shore Voc Te,Hanover,Public School,636,13.0,25.6,47.6,20231.82,Level 2,45.0,Performing,The school has a high graduation rate but lower college attendance and SAT scores.,Graduation Rate,College Attendance,High School
Southeastern Regional Vocational Technical,Southeastern Re,South Easton,Public School,1416,16.1,39.1,55.0,20009.8,Level 1,52.0,Performing,The school boasts a high graduation rate of 97% and maintains average outcomes in college attendance.,Graduation Rate,SAT Scores,High School
Mt Everett Regional,Mt Everett Reg,Sheffield,Public School,292,10.3,29.5,41.8,18946.22,Level 2,79.0,Performing,The school boasts a high graduation rate of 94.9% and solid college attendance.,Graduation rate,SAT scores,High School
Bay Path Regional Vocational Technical High School,Bay Path Reg Vo,Charlton,Public School,1114,13.9,26.8,36.2,17881.01,Level 1,55.0,Performing,Bay Path Regional Vocational Technical High School boasts a commendable graduation rate of 94.3%.,Graduation rate,College attendance,High School
Southwick Regional School,Southwick Reg,Southwick,Public School,737,15.3,16.8,30.0,13377.33,Level 1,59.0,Performing,Southwick Regional School maintains solid graduation and college attendance rates.,Graduation,SAT Scores,High School
David Prouty High,David Prouty Hi,Spencer,Public School,338,15.8,32.8,39.6,12730.89,Level 1,25.0,Performing,David Prouty High demonstrates solid college attendance rates despite a notable dropout rate.,College attendance,Dropout rate,High School
High School Of Commerce,HS Of Commerce,Springfield,Public School,1250,15.8,73.8,85.2,15027.78,Level 4,4.0,At Risk,The school faces significant challenges with a graduation rate of just 58.2%.,N/A,Low graduation rate,High School
Roger L. Putnam Vocational Technical Academy,Roger L. Putnam,Springfield,Public School,1442,13.0,65.8,72.8,15027.78,Level 3,18.0,Performing,"The graduation rate is commendable, but college attendance remains a concern.",Graduation,College Attendance,High School
Springfield Central High,Springfield Cen,Springfield,Public School,2055,17.0,62.4,70.1,15027.78,Level 3,9.0,Struggling,Springfield Central High faces significant challenges with low SAT scores and high dropout rates.,Graduation rate,SAT scores,High School
Springfield High School,Springfield HS,Springfield,Public School,117,7.7,88.0,93.2,15027.78,Insufficient data,,At Risk,Springfield High School faces critical challenges with a graduation rate of only 11.6%.,College attendance,Dropout rate,High School
Springfield High School of Science and Technology,Springfield H 2,Springfield,Public School,1366,13.1,73.9,84.0,15027.78,Level 4,2.0,At Risk,Springfield High School of Science and Technology has alarmingly low graduation rates and SAT scores.,Engagement,Graduation,High School
The Springfield Renaissance School an Expeditionary Learning School,Springfield Ren,Springfield,Public School,713,16.1,47.8,55.5,15027.78,Level 2,23.0,Performing,The school has a commendable graduation rate and college attendance but needs improvement in SAT scores.,Graduation rate,SAT scores,High School
Stoneham High,Stoneham High,Stoneham,Public School,679,14.3,12.8,24.2,14939.72,Level 1,76.0,Thriving,Stoneham High boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School
Stoughton High,Stoughton High,Stoughton,Public School,1061,16.5,22.0,32.5,13517.4,Level 2,49.0,Performing,"Stoughton High has high graduation and college attendance rates, indicating solid overall performance.",Graduation rate,SAT scores,High School
Sturgis Charter Public School,Sturgis CS Publ,Hyannis,Charter School,804,14.1,13.6,22.8,,Level 1,98.0,Thriving,Sturgis Charter Public School boasts an impressive 97.5% graduation rate and 89.5% college attendance.,Graduation rate,None,High School
Sutton High School,Sutton HS,Sutton,Public School,426,16.9,7.0,15.3,12410.66,Level 2,62.0,Performing,Sutton High School boasts a high graduation rate and solid college attendance.,Graduation Rate,SAT Scores,High School
Swampscott High,Swampscott High,Swampscott,Public School,677,15.4,13.1,23.5,15095.06,Level 1,75.0,Thriving,Swampscott High boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School
Joseph Case High,Joseph Case Hig,Swansea,Public School,528,14.2,21.6,28.0,12862.4,Level 1,73.0,Performing,"Joseph Case High has strong graduation and college attendance rates, reflecting positive student outcomes.",Graduation rate,SAT scores,High School
Tantasqua Regional Sr High,Tantasqua Reg S,Fiskdale,Public School,760,13.7,12.9,17.1,13036.45,Level 1,67.0,Thriving,Tantasqua Regional Sr High boasts a high graduation rate and strong college attendance.,Graduation rate,N/A,High School
Tantasqua Regional Vocational,Tantasqua Reg V,Fiskdale,Public School,497,10.0,23.3,36.6,13036.45,Level 2,24.0,Performing,The school boasts a high graduation rate but has moderate college attendance.,Graduation rate,College attendance,High School
Taunton Alternative High School,Taunton Alt HS,Taunton,Public School,89,9.9,60.7,70.8,12260.38,Insufficient data,,Struggling,The school has a significantly low college attendance rate of just 19%.,Small class size,Low graduation and college attendance,High School
Taunton High,Taunton High,Taunton,Public School,2502,19.8,37.1,44.5,12260.38,Level 3,24.0,Performing,Taunton High has a solid graduation rate but moderate college attendance and SAT scores.,Graduation rate,College attendance,High School
Tewksbury Memorial High,Tewksbury Memor,Tewksbury,Public School,980,20.1,12.3,22.9,14719.71,Level 1,64.0,Performing,"Tewksbury Memorial High shows strong graduation rates and AP performance, indicating solid academic achievement.",Graduation rate,SAT scores,High School
Tri-County Regional Vocational Technical,Tri-County Reg,Franklin,Public School,1023,16.8,20.8,42.8,17805.51,Level 1,63.0,Thriving,The school's graduation rate is exceptionally high at 96.0%.,Graduation,College attendance,High School
Triton Regional High School,Triton Reg HS,Byfield,Public School,716,14.0,14.2,24.4,14986.68,Level 2,57.0,Performing,Triton Regional High School has a commendable graduation rate and strong AP performance.,Graduation rate,SAT scores,High School
Tyngsborough High School,Tyngsborough HS,Tyngsborough,Public School,507,15.6,9.1,17.6,13184.83,Level 1,79.0,Thriving,Tyngsborough High School boasts an impressive graduation rate of 97.7% and strong college attendance.,Graduation Rate,SAT Scores,High School
Upper Cape Cod Vocational Technical,Upper Cape Cod,Bourne,Public School,709,15.2,25.8,38.4,21312.85,Level 2,50.0,Performing,Upper Cape Cod boasts an impressive graduation rate of 99.4% with no dropout rate.,Graduation Rate,College Attendance,High School
Uxbridge High,Uxbridge High,Uxbridge,Public School,482,16.9,17.2,27.0,12755.44,Level 2,43.0,Performing,"Uxbridge High has a solid graduation rate and college attendance, but SAT scores could improve.",Graduation rate,SAT scores,High School
Wachusett Regional High,Wachusett Reg H,Holden,Public School,2140,17.6,8.6,19.2,11537.24,Level 2,80.0,Thriving,Wachusett Regional High showcases exceptional graduation and college attendance rates.,Graduation,N/A,High School
Wakefield Memorial High,Wakefield Memor,Wakefield,Public School,1016,14.6,12.7,23.5,13598.22,Level 2,48.0,Thriving,Wakefield Memorial High boasts an impressive graduation rate and high college attendance.,Graduation,SAT scores,High School
Walpole High,Walpole High,Walpole,Public School,1143,19.1,8.3,19.2,14077.67,Level 1,78.0,Thriving,"Walpole High boasts a high graduation rate and college attendance, indicating strong academic performance.",Graduation,SAT scores,High School
Waltham Sr High,Waltham Sr High,Waltham,Public School,1586,17.1,26.0,48.4,19940.44,Level 3,31.0,Performing,Waltham Sr High maintains a solid graduation rate while facing significant economic and high needs challenges.,Graduation rate,SAT scores,High School
Ware Junior/Senior High School,Ware Junior/Sen,Ware,Public School,475,18.8,40.6,48.2,13208.06,Level 3,13.0,Struggling,The school has a high dropout rate and low college attendance compared to state averages.,AP success,Dropout rate,High School
Wareham Cooperative Alternative School,Wareham Coopera,Wareham,Public School,61,5.9,47.5,59.0,14566.67,Insufficient data,,At Risk,"The school faces critical challenges, with only 33.3% graduation and a 38.5% dropout rate.",Small class size,Low graduation rate,High School
Wareham Senior High,Wareham Senior,Wareham,Public School,518,12.0,42.9,53.7,14566.67,Level 3,18.0,Performing,"Wareham Senior High has a solid graduation rate and college attendance, despite low SAT scores.",Graduation Rate,SAT Scores,High School
Watertown High,Watertown High,Watertown,Public School,662,13.7,23.6,43.4,20134.03,Level 2,43.0,Performing,Watertown High boasts a solid graduation rate and college attendance.,Graduation rate,SAT scores,High School
Wayland High School,Wayland HS,Wayland,Public School,828,14.9,3.6,24.2,17652.41,Level 1,87.0,Thriving,Wayland High School boasts a graduation rate of 98.7% and strong college attendance.,Graduation Rate,None,High School
Bartlett High School,Bartlett HS,Webster,Public School,443,15.7,40.9,50.6,13976.95,Level 3,13.0,Struggling,"Bartlett High School has a high dropout rate and low graduation rate, indicating serious challenges.",College Attendance,Dropout Rate,High School
Wellesley Sr High,Wellesley Sr Hi,Wellesley,Public School,1512,16.2,6.5,21.2,18185.37,Level 1,89.0,Thriving,Wellesley Sr High boasts an impressive graduation rate of 97.3% and exceptional AP performance.,Graduation Rate,None,High School
West Boylston Junior/Senior High,W Boylston Juni,West Boylston,Public School,513,14.4,17.0,26.5,14689.13,Level 2,58.0,Performing,"The school has a strong graduation rate and college attendance, indicating solid overall performance.",Graduation rate,SAT scores,High School
West Bridgewater Junior/Senior,W Bridgewater J,West Bridgewater,Public School,619,17.3,14.1,20.8,11749.81,Level 2,75.0,Thriving,West Bridgewater J boasts impressive graduation and college attendance rates.,Graduation Rate,SAT Scores,High School
West Springfield High,W Springfield H,West Springfield,Public School,1219,15.3,38.5,48.8,13372.42,Level 3,15.0,Performing,"West Springfield High shows solid graduation rates and college attendance, with room for improvement in test scores.",Graduation Rate,SAT Scores,High School
Westborough High,Westborough Hig,Westborough,Public School,1053,14.4,7.6,20.0,14745.64,Level 1,91.0,Thriving,Westborough High boasts an exceptional graduation rate and high AP performance.,Graduation Rate,N/A,High School
Westfield High,Westfield High,Westfield,Public School,1269,17.3,26.6,35.0,13622.87,Level 3,30.0,Performing,Westfield High displays solid graduation and college attendance rates with manageable dropout levels.,Graduation rate,SAT scores,High School
Westfield Technical Academy,Westfield Tech,Westfield,Public School,540,14.0,34.4,53.7,13622.87,Level 3,19.0,Performing,The school has a commendable graduation rate but lower college attendance and SAT scores.,Graduation rate,College attendance,High School
Westford Academy,Westford Acad,Westford,Public School,1680,19.7,3.6,13.3,13117.8,Level 1,90.0,Thriving,Westford Academy boasts exceptional graduation and college attendance rates alongside impressive AP performance.,Graduation rate,,High School
Weston High,Weston High,Weston,Public School,706,12.9,5.8,25.1,22768.35,Level 1,88.0,Thriving,Weston High boasts an impressive graduation rate and robust college attendance.,Graduation Rate,None,High School
Westwood High,Westwood High,Westwood,Public School,999,15.8,4.1,21.2,15853.36,Level 1,92.0,Thriving,Westwood High showcases exceptionally high graduation and college attendance rates.,Graduation,None,High School
Weymouth High School,Weymouth HS,Weymouth,Public School,1953,16.6,24.7,35.5,13675.12,Level 2,43.0,Performing,Weymouth High School has a commendable graduation rate and strong AP performance.,Graduation rate,College attendance,High School
Whitman Hanson Regional,Whitman Hanson,Whitman,Public School,1170,20.9,17.5,26.0,11703.17,Level 1,54.0,Performing,Whitman Hanson has a commendable graduation rate and low dropout rate.,Graduation Rate,SAT Scores,High School
Whittier Regional Vocational,Whittier Reg Vo,Haverhill,Public School,1310,13.8,29.1,47.6,18273.29,Level 2,67.0,Performing,Whittier Regional Vocational boasts a high graduation rate with minimal dropouts.,Graduation rate,SAT scores,High School
Wilmington High,Wilmington High,Wilmington,Public School,891,14.5,8.1,19.4,15501.99,Level 2,69.0,Performing,Wilmington High demonstrates solid graduation and college attendance rates with room for improvement in SAT scores.,Graduation rate,SAT scores,High School
Murdock High School,Murdock HS,Winchendon,Public School,289,15.2,37.0,47.8,13855.25,Level 3,12.0,Performing,Murdock HS has an average graduation rate and college attendance despite challenges with dropout rates.,Graduation rate,SAT scores,High School
Winchester High School,Winchester HS,Winchester,Public School,1268,17.0,5.6,24.1,12800.52,Level 1,99.0,Thriving,Winchester High School boasts an impressive graduation rate of 97.5% and strong college attendance.,Graduation Rate,None,High School
Winthrop High School,Winthrop HS,Winthrop,Public School,576,18.3,26.6,39.8,12547.75,Level 2,70.0,Performing,Winthrop High School demonstrates solid graduation and college attendance rates with room for improvement in standardized test scores.,Graduation Rate,SAT Scores,High School
Woburn High,Woburn High,Woburn,Public School,1333,16.4,22.0,35.3,15158.26,Level 2,28.0,Performing,"Woburn High has a solid graduation rate and college attendance, reflecting average performance overall.",Graduation rate,SAT scores,High School
Burncoat Senior High,Burncoat Senior,Worcester,Public School,1023,15.3,54.7,70.2,13901.25,Level 3,8.0,Struggling,Burncoat Senior High faces significant challenges with low SAT scores and college attendance rates.,Graduation,SAT scores,High School
Claremont Academy,Claremont Acad,Worcester,Public School,532,17.6,65.0,83.5,13901.25,Level 3,14.0,Struggling,Claremont Academy has a low SAT performance and low AP scores despite moderate graduation rates.,Graduation rate,SAT scores,High School
Doherty Memorial High,Doherty Memoria,Worcester,Public School,1555,13.5,43.9,58.9,13901.25,Level 3,19.0,Performing,Doherty Memorial High has a solid graduation rate and college attendance despite challenges with test scores.,Graduation,Test Scores,High School
North High,N High,Worcester,Public School,1307,14.8,63.6,81.4,13901.25,Level 3,3.0,Struggling,North High faces significant challenges with low college attendance and SAT scores.,Commitment,Low performance,High School
South High Community,S High Comm,Worcester,Public School,1421,16.0,58.6,75.9,13901.25,Level 3,23.0,Struggling,The school has a low graduation rate and below-average SAT scores.,Diversity,Graduation,High School
University Pk Campus School,Univ Pk Campus,Worcester,Public School,254,19.3,57.1,68.5,13901.25,Level 2,54.0,Performing,The school shows a strong graduation rate with no dropouts and decent college attendance.,Graduation rate,SAT scores,High School
Worcester Technical High,Worcester Tech,Worcester,Public School,1389,16.2,43.8,57.0,13901.25,Level 1,74.0,Performing,Worcester Tech has a high graduation rate and low dropout rate but average college attendance and test scores.,Graduation Rate,College Attendance,High School
Beaver Brook Elementary School,Beaver Brook El,Abington,Public School,580,24.6,23.3,37.1,13270.84,Level 3,34.0,Performing,Beaver Brook Elementary shows average MCAS proficiency rates with manageable warning/fail metrics.,Proficiency,Diversity,K-8
Benjamin J Phelps,Benjamin J Phel,Agawam,Public School,385,16.8,26.8,41.8,14363.21,Level 2,28.0,Performing,"The school demonstrates solid proficiency rates, particularly in 3rd grade math.",Proficiency,Demographics,K-8
Clifford M Granger,Clifford M Gran,Feeding Hills,Public School,293,19.8,32.8,45.7,14363.21,Level 2,68.0,Performing,Clifford M Granger shows strong math proficiency but needs improvement in English outcomes.,Math,English,K-8
James Clark School,James Clark Sch,Agawam,Public School,329,18.2,28.9,45.3,14363.21,Level 2,46.0,Performing,The school shows solid math proficiency rates but could improve in English language outcomes.,Math proficiency,English proficiency,K-8
Robinson Park,Robinson Park,Agawam,Public School,377,17.7,35.0,48.0,14363.21,Level 2,56.0,Performing,"Robinson Park demonstrates solid proficiency in math, yet has room for improvement in English outcomes.",Math proficiency,English outcomes,K-8
Amesbury Elementary,Amesbury Elem,Amesbury,Public School,388,20.4,23.7,38.1,13771.87,Level 2,57.0,Performing,"Amesbury Elementary demonstrates solid proficiency rates in most grades, particularly in 4th grade math and English.",Proficiency,High Needs,K-8
Charles C Cashman Elementary,Charles C Cashm,Amesbury,Public School,458,22.1,27.9,44.5,13771.87,Level 2,59.0,Performing,The school shows average outcomes with solid math results for 3rd and 4th grades.,Math proficiency,English performance,K-8
Crocker Farm Elementary,Crocker Farm El,Amherst,Public School,404,18.1,26.7,46.8,20236.57,Level 2,54.0,Performing,Crocker Farm Elementary shows average proficiency and pass rates despite a significant percentage of high needs students.,Proficiency,Demographics,K-8
Fort River Elementary,Fort River Elem,Amherst,Public School,335,20.2,38.2,52.2,20236.57,Level 2,38.0,Performing,Fort River Elementary shows a mix of solid math proficiency but struggles in English for 4th graders.,Math,English,K-8
Wildwood Elementary,Wildwood Elem,Amherst,Public School,409,20.1,31.5,47.4,20236.57,Level 2,64.0,Performing,Wildwood Elementary shows solid math proficiency but struggles with English proficiency rates.,Math,English,K-8
Berkley Community School,Berkley Comm Sc,Berkley,Public School,537,20.8,18.4,29.1,13153.79,Level 2,43.0,Performing,Berkley Community School shows solid proficiency rates in math and English with low warning/fail rates.,Proficiency,English,K-8
Eddy Elementary,Eddy Elem,Brewster,Public School,233,18.4,24.0,35.6,20571.79,Level 2,72.0,Performing,"Eddy Elementary shows solid MCAS performance, particularly in 3rd-grade math proficiency.",Math proficiency,4th grade outcomes,K-8
Edith C Baker,Edith C Baker,Chestnut Hill,Public School,764,18.4,8.1,36.6,17652.46,Level 1,97.0,Thriving,Edith C Baker achieves high MCAS proficiency rates despite a diverse student demographic.,Proficiency,Diversity,K-8
Edward Devotion,Edward Devotion,Brookline,Public School,798,18.8,12.0,37.6,17652.46,Level 2,84.0,Performing,"Edward Devotion exhibits solid proficiency rates among students, particularly in 3rd-grade math.",Proficiency,Demographics,K-8
Heath,Heath,Chestnut Hill,Public School,578,20.3,4.8,20.6,17652.46,Level 2,97.0,Thriving,"Heath School boasts remarkably high MCAS proficiency rates, especially in 4th grade math and English.",Proficiency,None,K-8
John D Runkle,John D Runkle,Brookline,Public School,613,20.5,4.7,28.5,17652.46,Level 1,89.0,Thriving,John D Runkle excels in MCAS proficiency rates despite a diverse student body.,Proficiency,Diversity,K-8
Lawrence,Lawrence,Brookline,Public School,711,18.5,10.4,41.9,17652.46,Level 1,92.0,Thriving,Lawrence School excels with high MCAS proficiency rates despite a significant portion of high needs students.,Proficiency,Demographics,K-8
Michael Driscoll,Michael Driscol,Brookline,Public School,600,20.0,6.0,28.2,17652.46,Level 2,94.0,Performing,The school shows strong proficiency in 3rd grade math but room for growth in 4th grade assessments.,Math proficiency,4th grade performance,K-8
Pierce,Pierce,Brookline,Public School,854,20.1,9.5,30.7,17652.46,Level 2,84.0,Thriving,Pierce School has exceptional MCAS proficiency rates in 3rd and 4th grade math and English.,Proficiency,None,K-8
William H Lincoln,William H Linco,Brookline,Public School,576,17.7,14.2,41.7,17652.46,Level 1,91.0,Thriving,William H Lincoln shows high MCAS proficiency rates and low warning/fail rates despite diverse student needs.,Proficiency,Diversity,K-8
Byam School,Byam Sch,Chelmsford,Public School,495,23.3,14.1,26.9,13288.93,Level 2,66.0,Performing,"Byam School demonstrates solid proficiency rates in math and English, particularly in 3rd-grade assessments.",Proficiency,4th grade English,K-8
Center Elementary School,Ctr Elem 2,Chelmsford,Public School,434,22.2,11.8,29.0,13288.93,Level 2,82.0,Performing,Center Elementary shows solid proficiency rates in math and English for grades 3 and 4.,Proficiency,High Needs,K-8
Charles D Harrington,Charles D Harri,North Chelmsford,Public School,471,22.1,19.1,34.8,13288.93,Level 2,83.0,Performing,The school shows solid proficiency rates but has room for improvement in English outcomes.,Math proficiency,English performance,K-8
South Row,S Row,Chelmsford,Public School,379,20.2,8.7,23.0,13288.93,Level 1,78.0,Thriving,South Row consistently demonstrates strong MCAS proficiency rates across all grades and subjects.,Proficiency,None,K-8
Deer Hill,Deer Hill,Cohasset,Public School,382,21.7,4.5,14.9,14937.37,Level 2,86.0,Thriving,Deer Hill demonstrates strong MCAS proficiency rates combined with low warning/fail rates.,Proficiency,None,K-8
Conway Grammar,Conway Grammar,Conway,Public School,141,16.1,23.4,32.6,15545.57,Level 1,68.0,Performing,"Strong MCAS proficiency rates in 3rd grade, but 4th grade results show room for improvement.",Proficiency,4th Grade,K-8
Deerfield Elementary,Deerfield Elem,South Deerfield,Public School,401,15.2,19.7,32.7,13787.63,Level 2,48.0,Performing,"Deerfield Elementary demonstrates solid MCAS proficiency rates, particularly in 3rd grade math.",Math,4th Grade English,K-8
Chickering,Chickering,Dover,Public School,483,20.4,2.7,21.1,24262.82,Level 1,97.0,Thriving,"Chickering excels in MCAS performance, particularly in math with a 90% proficiency rate for 3rd grade.",Proficiency,None,K-8
Brookside Elementary,Brookside Elem,Dracut,Public School,463,23.1,28.1,41.0,11380.49,Level 2,29.0,Performing,Brookside Elementary shows solid 3rd grade math proficiency but needs improvement in 4th grade outcomes.,3rd grade math,4th grade performance,K-8
George H. Englesby Elementary School,George H. Engle,Dracut,Public School,508,21.1,27.8,39.2,11380.49,Level 2,36.0,Struggling,"The school shows significant disparities in math proficiency, especially in 4th grade.",3rd Grade English,4th Grade Math,K-8
Greenmont Avenue,Greenmont Avenu,Dracut,Public School,280,24.0,27.9,40.4,11380.49,Level 2,58.0,Performing,Greenmont Avenue has solid proficiency rates in math and English for 3rd and 4th graders.,Proficiency,Economically Disadvantaged,K-8
Joseph A Campbell Elementary,Joseph A Campbe,Dracut,Public School,546,21.9,17.2,33.9,11380.49,Level 2,41.0,Performing,The school demonstrates solid proficiency rates in both math and English for 3rd and 4th grades.,Proficiency,High Needs,K-8
Gordon W Mitchell,Gordon W Mitche,East Bridgewater,Public School,690,25.4,18.0,34.8,10399.97,Level 2,81.0,Performing,Gordon W Mitchell shows solid math proficiency but needs improvement in English outcomes.,Math,English,K-8
Richardson Olmsted School,Richardson Olms,North Easton,Public School,835,24.0,11.1,26.5,12730.58,Level 2,63.0,Performing,The school shows strong math proficiency in 3rd grade but needs improvement in 4th grade English.,Math,English,K-8
Carlton M. Viveiros Elementary School,Carlton M. Vive,Fall River,Public School,725,21.2,76.4,81.8,14076.23,Level 1,48.0,Performing,The school demonstrates solid math proficiency but struggles with English language arts outcomes.,Math Proficiency,English Outcomes,K-8
Henry Lord Community School,Henry Lord Comm,Fall River,Public School,624,17.8,78.7,86.9,14076.23,Insufficient data,,At Risk,The school faces significant challenges with low proficiency rates and high warning/fail rates.,Community,Proficiency,K-8
James Tansey,James Tansey,Fall River,Public School,293,25.3,45.4,51.2,14076.23,Level 2,38.0,Performing,Math proficiency in 4th grade is notably strong compared to English outcomes.,Math Proficiency,English Proficiency,K-8
John J Doran,John J Doran,Fall River,Public School,546,24.0,76.4,83.5,14076.23,Level 2,40.0,Struggling,The school faces significant challenges with low MCAS proficiency rates in both math and English.,Enrollment,Proficiency,K-8
Letourneau Elementary School,Letourneau Elem,Fall River,Public School,597,21.9,70.2,79.2,14076.23,Level 3,16.0,Struggling,"The school shows significant challenges in English proficiency, impacting overall academic outcomes.",Math performance,English proficiency,K-8
Mary Fonseca Elementary School,Mary Fonseca El,Fall River,Public School,713,23.6,81.1,86.7,14076.23,Level 4,5.0,Struggling,The school has low proficiency rates in both math and English across multiple grades.,Enrollment,Proficiency,K-8
North End Elementary,N End Elem,Fall River,Public School,763,23.1,56.7,65.5,14076.23,Level 2,69.0,Performing,North End Elementary shows solid proficiency rates despite a high percentage of economically disadvantaged students.,Proficiency,High Needs,K-8
Samuel Watson,Samuel Watson,Fall River,Public School,304,22.6,78.0,83.2,14076.23,Level 4,11.0,At Risk,The school faces urgent challenges with low proficiency rates and a high percentage of economically disadvantaged students.,N/A,Low proficiency rates,K-8
Spencer Borden,Spencer Borden,Fall River,Public School,523,20.1,57.9,66.5,14076.23,Level 1,67.0,Performing,Spencer Borden has strong 3rd grade math proficiency but less impressive outcomes in 4th grade subjects.,3rd Grade Math,4th Grade Proficiency,K-8
William S Greene,William S Green,Fall River,Public School,768,22.0,66.8,73.4,14076.23,Level 2,27.0,Struggling,"The school demonstrates below average outcomes, particularly in 3rd and 4th grade English proficiency.",Math proficiency,English proficiency,K-8
Blanchard Memorial School,Blanchard Memor,Boxborough,Public School,413,21.1,5.8,26.6,14016.2,Level 1,94.0,Thriving,Blanchard Memorial School demonstrates high proficiency rates particularly in math across grade levels.,Proficiency,High Needs,K-8
C.T. Douglas Elementary School,C.T. Douglas El,Acton,Public School,456,22.9,4.6,29.2,14016.2,Level 2,90.0,Thriving,C.T. Douglas Elementary School demonstrates high proficiency rates with low warning rates in key subjects.,Proficiency,Diversity,K-8
Luther Conant School,Luther Conant S,Acton,Public School,451,22.9,7.1,33.0,14016.2,Level 1,95.0,Thriving,Luther Conant School excels with high MCAS proficiency rates despite a diverse student demographic.,Proficiency,None,K-8
